"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","688.609464145615","687.108452143477","657.812077373449","662.239970942421","673.572800308837","687.095876786217","686.660346320867","684.79426697127","672.862342109191","663.989956232389","632.698248798707","618.831952275004","602.124818572355","625.458658680637","639.47408880147","623.667268240424","627.567678278063","637.375567210962","655.822831600716","657.083577154326","625.014804880129","632.967747456754","608.84743765174","611.13690047424","619.213257248707","607.144577203608","605.778276109686","596.300319411783","583.76303920458","586.441491211765","563.976200963134","570.998887587248","565.488908602847","","",
"Afghanistan","AFG","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","296.775482232088","304.427307369884","310.237100209838","307.131547892858","286.064396202547","282.983299671014","292.272238277625","299.030990047223","294.267060718761","298.153215833718","285.657322343808","289.237182398885","292.177320461456","296.980066862543","302.295886835961","312.334701917274","302.907262026617","300.302468319768","306.79657435129","295.423285524058","336.412979107051","359.064392844876","353.413958029407","356.913661271615","354.759851343277","336.978667905031","343.896337502189","332.429748033803","325.467827141414","341.666132517863","336.566406948633","350.102510019168","351.913061564233","","",
"Angola","AGO","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","506.098906826107","501.1013958861","487.66526325083","489.171805015051","480.041934528091","460.744687477655","455.930060729858","448.250287767476","429.96411434091","434.376831763019","428.222669261961","428.599480858479","429.424207435976","446.134132051678","433.557080102511","392.557802386847","422.909458684002","446.790005661844","472.064397001416","504.92416679274","487.281074343005","486.235365702241","531.24332255994","512.021802587495","447.160325436651","517.525209417242","462.934994006148","456.692217487614","405.179753107747","416.996507156148","397.633186643914","418.358996013843","423.122517600564","","",
"Albania","ALB","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","813.373801291643","572.755207711702","418.273208912166","412.351824377392","441.348009597146","417.034611074232","447.838930515247","384.584954066613","426.818906731072","576.974269147942","581.374748988005","598.228317118281","661.11795163205","649.35788110735","716.623145884767","721.077407396492","707.890606549635","680.948166186712","712.287869024953","734.057809949862","731.053397459356","766.894617514824","689.872750149797","803.709464277971","810.872883939509","762.287986301806","786.071045181397","824.373550389848","823.101982045081","817.176548362341","761.957268109783","810.006337207976","780.738623945557","","",
"Andorra","AND","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1094.35563243269","1109.04967832798","1192.61675734798","1235.3634066293","1273.84542334201","1271.58909644845","1286.53645365679","1307.37384721608","1302.73576547054","1284.79313244267","1309.71627148077","1388.53158803884","1427.25898983203","1413.04793013301","1434.74765584441","1502.73958252596","1543.29353412303","1573.16225124085","1648.73035175674","1689.6505235713","1751.63748644266","1756.09749497428","1794.497917667","1772.87001532426","1834.69438138506","1837.73870796454","1837.82325274154","1845.21864394839","1813.67326733384","1794.73854105315","1677.18428545402","1743.19074449394","1779.76962058116","","",
"United Arab Emirates","ARE","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10740.8429217188","11690.0970198374","10562.8994380617","10572.6698308454","11178.3984813089","11360.9014709113","11250.1691193254","10941.7465226956","10375.285992572","9839.14403490257","8956.94929901911","11703.2751045514","10866.2518811768","10102.2168560285","9441.12715739602","9535.23423153349","9239.48012400956","8929.91291284475","9426.22252523971","9485.64696621464","8944.43348137498","8558.24529408267","8614.16881429917","8858.22242582428","9633.42212114175","10146.376786057","10355.5476088804","8521.13677246594","8482.30317231137","8816.50943614681","8154.35294132635","8674.22641438132","8335.80957162683","","",
"Argentina","ARG","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1351.48277612519","1385.38307033103","1407.27675440761","1432.607502841","1530.52760849222","1507.19847475089","1534.09177637667","1567.39444751302","1648.11263598533","1666.81862190168","1643.32131961789","1518.4581858385","1484.25701881625","1588.98177724668","1740.90890259945","1712.4320350003","1784.01669776279","1845.91422802344","1889.40923801554","1722.74402909882","1826.05112368849","1865.25736115683","1897.60983922809","1928.54922885127","1911.61727736839","1919.75859208058","1889.87018853289","1874.82963739464","1806.77623499039","1777.41507710553","1624.17555252173","1741.65240212881","1808.99849167635","","",
